site,slug,count_estimate,response_type,base_endpoint,checked_url,category_params,pagination_params,search_filter_params,detail_id_params,md_file,json_file
4396200.com 그린중기 공용매물,4396200_green_heavy,7700,HTML 목록 + JS/Ajax 단서,https://www.4396200.com/sub8_1_s.html,https://www.4396200.com/sub8_1_s.html?cate_code=100100,cate_code,page,"mkco, syear, eyear, find2, find3, find4, search, find, find1",pid,4396200_green_heavy.md,4396200_green_heavy.json
지게차코리아 공용매물,jigecha_korea,7392,HTML 목록 + JS/Ajax 단서,http://jigecha.kr/kwa-sell_jigecha,http://jigecha.kr/kwa-sell_jigecha,"SCH_category_4, SCH_category_1, SCH_category_3",PB_1483420906,"SCH_sido, search_value, SCH_category_4, SCH_category_1, SCH_category_3, SCH_gugun, SCH_open_date_1_year, SCH_open_date_1_month, SCH_open_date_1_DSF, SCH_open_date_2_year, SCH_open_date_2_month, SCH_open_date_2_DSF, SCH_etc_3_min, SCH_etc_3_max",path_suffix_id,jigecha_korea.md,jigecha_korea.json
태양중기매매상사,ty_heavyequipment,1522,HTML 목록 + JS/Ajax 단서,https://ty-heavyequipment.com/taeyang_product_list/,https://ty-heavyequipment.com/taeyang_product_list/?cat1=18,"cat1, cat2",paged,"smaker, syear, eyear, stx",id,ty_heavyequipment.md,ty_heavyequipment.json
서울중기매매상사,2963566_seoul,179,HTML 목록 + JS/Ajax 단서,https://www.2963566.com/bbs/board.php,https://www.2963566.com/bbs/board.php?bo_table=m20011,bo_table,page,"stx, sfl, maker, sop","wr_id, no",2963566_seoul.md,2963566_seoul.json
삼성중기매매상사,3dump_samsung,118,HTML 목록 + JS/Ajax 단서,https://www.3dump.co.kr/bbs/board.php,https://www.3dump.co.kr/bbs/board.php?bo_table=m01_01&ca_id=20b0,"ca_id, bo_table",p,"sKeyword, sop, stx",wr_id,3dump_samsung.md,3dump_samsung.json
선우중장비매매상사,4833_sunwoo,101,HTML 목록 + JS/Ajax 단서,http://www.4833.com/Machine/RecomList.asp,http://www.4833.com/Machine/RecomList.asp?MType=18,MType,"Page, page","MSort, MModel",Idx,4833_sunwoo.md,4833_sunwoo.json
퍼펙트82중장비,perfect82,100,HTML 목록 + JS/Ajax 단서,https://www.perfect82.com/fnew100,https://www.perfect82.com/fnew100,,,keyword,idx,perfect82.md,perfect82.json
Mascus Korea,mascus_korea,215,JSON API,https://qhqraq9hm7.execute-api.eu-central-1.amazonaws.com/Search/SearchAssets,https://www.mascus.co.kr/search?catalogs=construction&countries=KR,"catalogs, categories, subcategories","page, pagesize","countries, companyregion, brands, models, freetext, price, meterreadouthours, engineoutput, accessorylist, withimage, withvideo, usercurrency, sortby, sortascending, lastcreateddays","productId, assetUrl",mascus_korea.md,mascus_korea.json
중기114,junggi114,300,HTML 목록,https://중기114.com/product,https://중기114.com/product,"mid, category",page,"is_search, extra_vars4, extra_vars4-2, extra_vars5, extra_vars6, extra_vars8, extra_vars10",document_srl,junggi114.md,junggi114.json
BAND www.band.us/band/69640559,band_69640559,,HTML 메타 + 인증 필요 JSON API,https://api-kr.band.us/v2.0.0/get_posts_and_announcements,https://www.band.us/band/69640559,band_no,ts,"resolution_type, order_by, 인증 쿠키/헤더는 환경변수 주입",post_no/post_key,band_69640559.md,band_69640559.json
